[2025-04-19 14:20:33,838] 21 root - INFO - Initiate the data ingestion
[2025-04-19 14:20:35,593] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 14:20:35,593] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 14:20:35,594] 67 root - INFO - Exporting train and test file path.
[2025-04-19 14:20:35,629] 77 root - INFO - exported train and test file path
[2025-04-19 14:20:35,630] 25 root - INFO - Data Ingestion Completed!
[2025-04-19 14:20:35,630] 28 root - INFO - Initiate data validation
[2025-04-19 14:20:35,692] 36 root - INFO - Required number of columns:2
[2025-04-19 14:20:35,692] 37 root - INFO - Dataframe has columns:31
[2025-04-19 14:20:35,692] 36 root - INFO - Required number of columns:2
[2025-04-19 14:20:35,692] 37 root - INFO - Dataframe has columns:31
[2025-04-19 14:20:35,794] 32 root - INFO - Data Validation Completed!
[2025-04-19 14:20:35,795] 35 root - INFO - Initiate data transformation
[2025-04-19 14:20:35,795] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 14:20:35,795] 55 root - INFO - starting data transformation!
[2025-04-19 14:20:35,812] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 14:20:35,812] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 14:20:35,820] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 14:20:35,822] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 14:20:35,823] 39 root - INFO - Data Transformation Completed!
[2025-04-19 14:20:35,824] 42 root - INFO - Initiate model training
[2025-04-19 14:21:35,405] 127 root - INFO - Exported run b0c3913f9ae44725a0a95522f2608dc5 \u2192 MongoDB RUSHXBH910.GPU_Carbon_Footprints
[2025-04-19 14:21:35,444] 135 root - INFO - Dumped MongoDB collection RUSHXBH910.GPU_Carbon_Footprints to ./exported_gpu_runs.json
[2025-04-19 14:21:35,445] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 14:21:35,448] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 14:21:35,448] 231 root - INFO - Model saved to Artifacts\04_19_2025_14_20_28\model_trainer\trained_model\model.pkl
[2025-04-19 14:21:35,449] 46 root - INFO - Model Training Completed!
[2025-04-19 14:21:35,449] 50 root - INFO - Running LLM evaluation on latest model metrics...
